SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
177139,-0.006676,0.030431,0.016843,-7.780825,-77.468725,7.597659
177239,-0.012799,0.027655,0.013354,-7.810479,-77.452665,7.620546
177339,-0.019366,0.021872,0.009779,-7.836717,-77.440173,7.636083
177439,-0.020496,0.016854,0.00821,-7.861293,-77.430657,7.649254
177539,-0.021945,0.015927,0.004465,-7.877427,-77.421963,7.652929
177639,-0.022238,0.024063,0.002375,-7.885519,-77.408821,7.648193
177739,-0.013769,0.042641,0.003739,-7.88569,-77.385035,7.640312
177839,-0.00641,0.052981,0.004165,-7.879114,-77.355351,7.629838
177939,-0.006774,0.064268,0.003525,-7.867219,-77.319321,7.613698
178039,-0.017922,0.067687,0.004263,-7.86244,-77.281309,7.598304
178139,-0.027284,0.051601,0.003873,-7.867665,-77.252465,7.587666
178239,-0.043456,0.027628,0.009711,-7.905071,-77.23677,7.600523
178339,-0.048543,0.019698,0.011434,-7.952382,-77.225439,7.620549
178439,-0.044246,0.030637,0.009535,-7.988563,-77.20806,7.631689
178539,-0.047059,0.044803,0.007123,-8.015278,-77.182848,7.631472
178639,-0.052661,0.059429,0.003996,-8.032216,-77.149599,7.617937
178739,-0.058149,0.060877,0.002506,-8.048055,-77.115657,7.60005
178839,-0.066506,0.04443,0.000243,-8.068822,-77.091239,7.582303
178939,-0.070845,0.018571,0.000255,-8.101126,-77.0815,7.573845
179039,-0.069373,-0.005322,0.001248,-8.143394,-77.085238,7.576477
179139,-0.063549,-0.018413,-0.000467,-8.182676,-77.096543,7.579471
179239,-0.058242,-0.013526,-0.005976,-8.203513,-77.105526,7.566664
179339,-0.06098,0.006063,-0.014819,-8.197002,-77.10412,7.524194
179439,-0.065799,0.030547,-0.01803,-8.176643,-77.089084,7.464681
179539,-0.070912,0.053792,-0.018068,-8.151057,-77.060859,7.396791
179639,-0.077366,0.066718,-0.014152,-8.134534,-77.024976,7.334398
179739,-0.081193,0.063105,-0.00987,-8.13223,-76.990794,7.284336
179839,-0.080128,0.049309,-0.004525,-8.147363,-76.964005,7.252791
179939,-0.080111,0.037361,0.000724,-8.179513,-76.943568,7.238723
180039,-0.080214,0.028131,0.002228,-8.218566,-76.928244,7.231683
180139,-0.068461,0.032836,-0.001645,-8.239718,-76.910568,7.213177
180239,-0.050884,0.036357,-0.004067,-8.243664,-76.891087,7.187346
180339,-0.027975,0.047962,-0.009146,-8.218138,-76.865434,7.144726
180439,-0.01382,0.056188,-0.01426,-8.16944,-76.835519,7.08663
