// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 0388442F
//  ProductCode: MTi-3-8A7G6
//  Firmware Version: 1.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: general(50.9)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Enabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
00251,142426,9.594816,0.679163,2.136093,-0.000387,-0.012859,0.001209,16.665255,-76.942570,-16.257395
00252,142626,9.533520,0.686354,2.069580,0.002652,0.003497,-0.000898,16.670546,-76.938588,-16.259551
00253,142826,9.552527,0.638339,2.050680,0.001053,-0.008289,0.000941,16.681992,-76.948176,-16.269909
00254,143026,9.620453,0.628703,2.127607,0.001836,-0.015076,0.004192,16.688510,-76.966284,-16.274290
00255,143226,9.579322,0.663206,2.085367,0.003065,-0.010763,0.006109,16.681227,-76.980298,-16.263060
00256,143426,9.589973,0.686286,2.097156,0.001537,-0.008067,0.008378,16.657609,-76.992099,-16.236859
00257,143626,9.603954,0.653244,2.124127,0.000496,-0.010085,0.010150,16.627165,-77.006687,-16.204878
00258,143826,9.609154,0.662179,2.125778,0.000256,-0.009610,0.011953,16.587100,-77.021331,-16.163310
00259,144026,9.583316,0.693995,2.084143,0.002017,-0.005070,0.010571,16.549205,-77.030532,-16.121895
00260,144226,9.564925,0.693828,2.068014,0.003976,0.002602,0.009520,16.507762,-77.030963,-16.074531
00261,144426,9.594699,0.675544,2.079546,0.001441,-0.001174,0.009978,16.466602,-77.035691,-16.030437
00262,144626,9.579241,0.661996,2.083578,-0.005863,-0.005674,0.007814,16.433742,-77.044660,-16.003449
00263,144826,9.590902,0.664104,2.123130,-0.009753,-0.004650,0.007436,16.396761,-77.052364,-15.976806
00264,145026,9.595360,0.620432,2.113081,-0.007360,0.001737,0.006219,16.359266,-77.052647,-15.946826
00265,145226,9.587704,0.605804,2.116606,-0.003608,-0.001494,0.006378,16.329745,-77.056529,-15.920620
00266,145426,9.591010,0.649790,2.109668,-0.002147,-0.003369,0.007786,16.297768,-77.062916,-15.890179
00267,145626,9.594864,0.639652,2.085486,-0.007403,-0.002518,0.006758,16.263470,-77.068039,-15.863537
00268,145826,9.620785,0.605406,2.100069,-0.006922,0.003506,0.008637,16.212219,-77.067140,-15.818938
00269,146026,9.593401,0.585879,2.113979,0.001265,-0.000989,0.007689,16.181035,-77.070877,-15.785310
00270,146226,9.579680,0.619529,2.134150,0.010485,-0.008593,0.007050,16.173980,-77.082762,-15.765601
00271,146426,9.589039,0.671931,2.110823,0.014434,-0.006579,0.004839,16.179305,-77.091714,-15.753949
00272,146626,9.590385,0.671165,2.056357,0.009607,-0.001944,0.003532,16.178999,-77.095160,-15.742191
00273,146826,9.606231,0.638465,2.050688,-0.001886,-0.004697,0.003648,16.168823,-77.101691,-15.733815
00274,147026,9.599270,0.620449,2.128125,-0.003752,-0.006815,0.003354,16.160806,-77.110449,-15.729853
00275,147226,9.613874,0.611107,2.139168,0.004449,-0.007133,0.001193,16.172949,-77.118850,-15.736935
00276,147426,9.592215,0.597720,2.105485,0.002960,0.001009,-0.000826,16.181659,-77.117646,-15.742250
00277,147626,9.558996,0.632913,2.068092,0.006781,0.009227,0.001304,16.173036,-77.108084,-15.725292
00278,147826,9.577247,0.629557,2.031503,0.002239,0.011826,0.002611,16.149355,-77.096102,-15.698224
00279,148026,9.571954,0.592159,2.213106,-0.017840,-0.011094,0.005261,16.121672,-77.110145,-15.690662
00280,148226,9.582287,0.617721,2.113067,-0.001857,-0.000597,0.008613,16.081516,-77.113687,-15.651520
00281,148426,9.593205,0.655348,2.010251,0.004575,0.010266,0.007625,16.038523,-77.104981,-15.601901
00282,148626,9.617945,0.691772,2.094092,0.005724,-0.004710,0.000773,16.050668,-77.110589,-15.607489
00283,148826,9.637032,0.681459,2.120532,0.003069,-0.027669,-0.007355,16.130926,-77.138879,-15.686063
00284,149026,9.616826,0.671876,2.096782,0.002325,-0.020563,-0.008202,16.204857,-77.159048,-15.759011
00285,149226,9.563078,0.662921,2.043757,-0.007295,-0.009538,-0.005437,16.239159,-77.167967,-15.802613
00286,149426,9.553674,0.702974,2.088858,-0.020700,-0.013022,-0.004343,16.257888,-77.181050,-15.845991
00287,149626,9.543661,0.686858,2.113276,-0.024180,-0.014300,-0.007458,16.289641,-77.194508,-15.906809
00288,149826,9.608428,0.644941,2.072441,-0.017569,-0.006336,-0.005355,16.307599,-77.199880,-15.945709
00289,150026,9.617881,0.628662,2.083471,-0.015821,-0.008324,-0.000419,16.306468,-77.209027,-15.962980
00290,150226,9.605805,0.656008,2.116240,-0.020458,-0.011288,-0.001806,16.310971,-77.220969,-15.991476
00291,150426,9.603057,0.694484,2.104305,-0.016737,-0.010965,-0.004017,16.330118,-77.231823,-16.030612
00292,150626,9.601619,0.617414,2.021142,-0.013987,0.002135,-0.004735,16.337277,-77.228064,-16.054224
00293,150826,9.587405,0.629794,2.062443,-0.021460,-0.005542,0.000023,16.323686,-77.234284,-16.065340
00294,151026,9.562661,0.673645,2.101289,-0.023827,-0.004501,-0.001836,16.314970,-77.238742,-16.084235
00295,151226,9.576197,0.609468,2.054604,-0.010644,-0.000845,-0.003113,16.322315,-77.238777,-16.104111
00296,151426,9.618713,0.512975,2.063738,0.005317,-0.002829,-0.002879,16.349404,-77.241088,-16.125489
00297,151626,9.630337,0.555423,2.094345,0.014923,-0.013136,0.001912,16.378777,-77.256279,-16.137931
00298,151826,9.598796,0.655335,2.114226,0.017639,-0.020641,0.005507,16.404568,-77.280861,-16.143509
00299,152026,9.586565,0.701315,2.051588,0.013829,-0.011368,0.005964,16.410625,-77.295394,-16.133325
00300,152226,9.596762,0.650643,2.026121,0.004879,-0.006328,0.009555,16.381698,-77.305560,-16.097792
00301,152426,9.642623,0.635720,2.074754,0.005406,-0.007529,0.012102,16.342589,-77.317863,-16.051206
00302,152626,9.628690,0.665958,2.075327,0.014874,0.003261,0.007091,16.323361,-77.316673,-16.013876
00303,152826,9.616149,0.634231,2.046108,0.018735,0.008113,0.004711,16.313264,-77.309385,-15.981369
00304,153026,9.607306,0.617006,2.027129,0.017722,-0.001108,0.007875,16.299721,-77.313272,-15.946521
00305,153226,9.610515,0.635197,2.076821,0.016308,-0.006346,0.005861,16.301856,-77.322264,-15.929405
00306,153426,9.625505,0.643855,2.082159,0.022056,-0.001847,0.006258,16.302194,-77.326428,-15.903696
00307,153626,9.622866,0.608559,2.064610,0.021939,0.007737,0.007699,16.281601,-77.320516,-15.856673
00308,153826,9.619597,0.626181,2.080469,0.019611,0.010129,0.012744,16.230283,-77.313579,-15.780891
00309,154026,9.604299,0.671672,2.102166,0.021037,0.003794,0.014508,16.181075,-77.314141,-15.705593
00310,154226,9.613482,0.661701,2.073755,0.020692,0.008177,0.012709,16.134120,-77.309286,-15.633007
00311,154426,9.609235,0.632182,2.021729,0.021518,0.016140,0.007439,16.102709,-77.293995,-15.575381
00312,154626,9.607322,0.613843,2.026817,0.019081,0.015826,0.008223,16.065223,-77.279309,-15.514387
00313,154826,9.590384,0.615599,2.081182,0.018485,0.011530,0.008838,16.030147,-77.269536,-15.456562
00314,155026,9.598986,0.639158,2.100398,0.019714,0.006702,0.010062,15.997324,-77.265447,-15.399602
00315,155226,9.595223,0.660591,2.103747,0.011358,0.003591,0.011664,15.951527,-77.265265,-15.339154
00316,155426,9.639590,0.656475,2.105418,0.013977,0.015018,0.012618,15.888262,-77.252766,-15.257717
00317,155626,9.594801,0.624238,1.980393,0.026316,0.031609,0.009512,15.831565,-77.221026,-15.168507
00318,155826,9.571978,0.590675,2.065884,0.003508,0.014152,0.010082,15.770208,-77.208699,-15.101314
00319,156026,9.613194,0.636168,2.174002,-0.007546,-0.000409,0.013865,15.697799,-77.213554,-15.035776
00320,156226,9.598748,0.692690,2.022187,0.008538,0.030213,0.012129,15.610777,-77.184082,-14.936341
00321,156426,9.591423,0.665438,2.052767,0.008358,0.037008,0.007726,15.536257,-77.145732,-14.849921
00322,156626,9.594055,0.650924,2.080901,0.012192,0.004384,0.004168,15.527530,-77.142298,-14.826468
00323,156826,9.641958,0.634244,2.134971,0.014670,-0.011232,-0.002963,15.577167,-77.153901,-14.859967
00324,157026,9.594301,0.632616,2.059209,0.018125,0.008494,-0.008001,15.628566,-77.142185,-14.891211
00325,157226,9.546228,0.618681,2.019019,0.014063,0.019559,-0.009576,15.667890,-77.117793,-14.914843
00326,157426,9.562837,0.608970,2.068460,0.008999,0.009481,-0.008565,15.710053,-77.104839,-14.947344
00327,157626,9.611343,0.617098,2.114115,0.003068,0.004707,-0.003347,15.726679,-77.098763,-14.960621
00328,157826,9.640309,0.658270,2.102745,0.000797,0.008994,-0.002597,15.731316,-77.088191,-14.964266
00329,158026,9.642534,0.639362,2.080976,0.007265,0.016477,-0.007217,15.755440,-77.067940,-14.980300
00330,158226,9.611958,0.580807,2.088837,0.010241,0.017124,-0.008336,15.787316,-77.046638,-15.000793
00331,158426,9.555333,0.602924,2.070807,0.020527,0.020238,-0.008364,15.826760,-77.021906,-15.016960
00332,158626,9.538947,0.649974,2.108919,0.016635,0.012243,-0.006850,15.865279,-77.006452,-15.036756
00333,158826,9.595394,0.710081,2.112230,0.009576,0.015706,-0.006670,15.890209,-76.987227,-15.050901
00334,159026,9.617841,0.677081,2.052442,0.006299,0.020805,-0.003974,15.891670,-76.963250,-15.044809
00335,159226,9.622637,0.621003,2.101503,0.004112,0.012757,-0.003255,15.898078,-76.948380,-15.046367
00336,159426,9.606415,0.613250,2.125746,0.007570,0.010880,-0.003183,15.910576,-76.935602,-15.050111
00337,159626,9.551058,0.638453,2.120819,0.011560,0.018484,-0.002434,15.913781,-76.914677,-15.039624
00338,159826,9.546112,0.639576,2.062167,0.008462,0.019685,0.000762,15.896721,-76.893452,-15.011971
00339,160026,9.591723,0.654114,2.082047,0.008208,0.010219,0.003013,15.881560,-76.883381,-14.986565
00340,160226,9.619881,0.659799,2.119863,0.010349,0.004025,0.001789,15.883018,-76.879755,-14.975701
00341,160426,9.610762,0.658342,2.099355,0.010741,0.007518,-0.000222,15.889765,-76.871661,-14.969805
00342,160626,9.590069,0.652496,2.067147,0.006721,0.011498,0.001842,15.876849,-76.859849,-14.948445
00343,160826,9.570567,0.646451,2.087455,0.004825,0.000255,0.003331,15.869860,-76.860909,-14.935402
00344,161026,9.572355,0.694359,2.144356,0.003775,-0.008121,0.002922,15.874912,-76.871059,-14.935956
